season,HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPts,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts,HomeLeaguePosition,AwayLeaguePosition,LeaguePositionDiff,MatchDayDay,MatchDayMonth,MatchDayDate,match_prediction,Home Prediction,Away Prediction,Result Prediction
1995-96,Aston Villa,Man United,0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,2,11,-9,Saturday,August,19,0,2,0,H
1995-96,Blackburn,QPR,0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,3,15,-12,Saturday,August,19,0,1,0,H
1995-96,Chelsea,Everton,1,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,5,7,-2,Saturday,August,19,1,0,0,D
1995-96,Liverpool,Sheffield Weds,0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,9,16,-7,Saturday,August,19,0,1,0,H
1995-96,Man City,Tottenham,1,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,10,18,-8,Saturday,August,19,1,1,0,H
1995-96,Newcastle,Coventry,0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,13,6,7,Saturday,August,19,0,2,0,H
1995-96,Southampton,Nott'm Forest,2,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,17,14,3,Saturday,August,19,2,2,3,A
1995-96,West Ham,Leeds,2,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,19,8,11,Saturday,August,19,2,1,2,A
1995-96,Wimbledon,Bolton,0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,20,4,16,Saturday,August,19,0,3,2,H
1995-96,Arsenal,Middlesbrough,1,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,0,0,0.0,0.0,0.0,0.0,1,12,-11,Sunday,August,20,1,0,1,A
1995-96,Leeds,Liverpool,0,2.0,1.0,1.0,0.0,1.5,1.5,W,W,M,M,M,M,M,M,M,M,2.0,3,3,0.5,0.5,0.0,0.0,2,3,-1,Monday,August,21,0,1,0,H
1995-96,Bolton,Newcastle,2,2.0,3.0,3.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,0,3,-0.5,1.5,-1.5,-1.5,15,7,8,Tuesday,August,22,2,0,2,A
1995-96,Coventry,Man City,0,0.0,1.0,3.0,1.0,0.0,0.5,L,D,M,M,M,M,M,M,M,M,2.0,0,1,-1.5,0.0,-0.5,-0.5,13,11,2,Wednesday,August,23,0,1,1,D
1995-96,Everton,Arsenal,2,0.0,1.0,0.0,1.0,0.5,0.5,D,D,M,M,M,M,M,M,M,M,2.0,1,1,0.0,0.0,0.0,0.0,10,8,2,Wednesday,August,23,2,0,2,A
1995-96,Man United,West Ham,0,1.0,1.0,3.0,2.0,0.0,0.0,L,L,M,M,M,M,M,M,M,M,2.0,0,0,-1.0,-0.5,0.0,0.0,14,18,-4,Wednesday,August,23,0,1,0,H
1995-96,Nott'm Forest,Chelsea,1,4.0,0.0,3.0,0.0,1.5,0.5,W,D,M,M,M,M,M,M,M,M,2.0,3,1,0.5,0.0,1.0,1.0,4,9,-5,Wednesday,August,23,1,1,0,H
1995-96,QPR,Wimbledon,2,0.0,3.0,1.0,2.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,0,3,-0.5,0.5,-1.5,-1.5,16,5,11,Wednesday,August,23,2,0,2,A
1995-96,Sheffield Weds,Blackburn,0,0.0,1.0,1.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,0,3,-0.5,0.5,-1.5,-1.5,17,1,16,Wednesday,August,23,0,1,1,D
1995-96,Tottenham,Aston Villa,2,1.0,3.0,1.0,1.0,0.5,1.5,D,W,M,M,M,M,M,M,M,M,2.0,1,3,0.0,1.0,-1.0,-1.0,12,6,6,Wednesday,August,23,2,0,1,A
1995-96,Bolton,Blackburn,0,2.0,1.0,3.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,0,3,-0.5,0.5,-1.5,-1.5,15,1,14,Saturday,August,26,0,1,0,H
1995-96,Coventry,Arsenal,1,2.0,3.0,4.0,1.0,1.0,1.3333333333333333,W,W,L,D,M,M,M,M,M,M,3.0,3,4,-0.6666666666666666,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,8,6,2,Saturday,August,26,1,0,0,D
1995-96,Everton,Southampton,0,0.0,3.0,2.0,6.0,0.3333333333333333,0.0,L,L,D,L,M,M,M,M,M,M,3.0,1,0,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,14,18,-4,Saturday,August,26,0,2,0,H
1995-96,Leeds,Aston Villa,0,3.0,4.0,1.0,1.0,2.0,2.0,W,W,W,W,M,M,M,M,M,M,3.0,6,6,0.6666666666666666,1.0,0.0,0.0,1,2,-1,Saturday,August,26,0,1,0,H
1995-96,Man United,Wimbledon,0,3.0,6.0,4.0,2.0,1.0,2.0,W,W,L,W,M,M,M,M,M,M,3.0,3,6,-0.3333333333333333,1.3333333333333333,-1.0,-1.0,9,3,6,Saturday,August,26,0,3,0,H
1995-96,Middlesbrough,Chelsea,0,3.0,0.0,1.0,0.0,1.3333333333333333,0.6666666666666666,W,D,D,D,M,M,M,M,M,M,3.0,4,2,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,7,13,-6,Saturday,August,26,0,1,0,H
1995-96,Nott'm Forest,West Ham,1,4.0,2.0,3.0,4.0,1.3333333333333333,0.0,D,L,W,L,M,M,M,M,M,M,3.0,4,0,0.3333333333333333,-0.6666666666666666,1.3333333333333333,1.3333333333333333,5,19,-14,Saturday,August,26,1,0,1,A
1995-96,QPR,Man City,0,0.0,2.0,4.0,3.0,0.0,0.3333333333333333,L,L,L,D,M,M,M,M,M,M,3.0,0,1,-1.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,17,15,2,Saturday,August,26,0,2,1,H
1995-96,Tottenham,Liverpool,2,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,L,L,D,W,M,M,M,M,M,M,3.0,1,3,-0.3333333333333333,0.0,-0.6666666666666666,-0.6666666666666666,16,11,5,Saturday,August,26,2,0,2,A
1995-96,Sheffield Weds,Newcastle,2,2.0,6.0,2.0,1.0,1.0,2.0,W,W,L,W,M,M,M,M,M,M,3.0,3,6,0.0,1.6666666666666667,-1.0,-1.0,12,4,8,Sunday,August,27,2,0,2,A
1995-96,Blackburn,Man United,2,2.0,3.0,2.0,4.0,1.0,1.0,L,W,W,L,M,M,M,M,M,M,3.0,3,3,0.0,-0.3333333333333333,0.0,0.0,10,11,-1,Monday,August,28,2,1,1,D
1995-96,Arsenal,Nott'm Forest,1,3.0,5.0,1.0,4.0,1.25,1.25,D,D,W,D,D,W,M,M,M,M,4.0,5,5,0.5,0.25,0.0,0.0,7,6,1,Tuesday,August,29,1,0,1,A
1995-96,Aston Villa,Bolton,0,4.0,5.0,3.0,7.0,1.5,0.75,L,W,W,L,W,L,M,M,M,M,4.0,6,3,0.25,-0.5,0.75,0.75,3,12,-9,Wednesday,August,30,0,0,0,D
1995-96,Chelsea,Coventry,1,0.0,2.0,2.0,4.0,0.5,1.0,L,D,D,W,D,L,M,M,M,M,4.0,2,4,-0.5,-0.5,-0.5,-0.5,15,8,7,Wednesday,August,30,0,2,1,H
1995-96,Liverpool,QPR,0,4.0,1.0,2.0,4.0,1.5,0.75,W,W,L,L,W,L,M,M,M,M,4.0,6,3,0.5,-0.75,0.75,0.75,4,11,-7,Wednesday,August,30,0,0,0,D
1995-96,Man City,Everton,2,2.0,2.0,4.0,2.0,0.25,1.0,L,W,L,L,D,D,M,M,M,M,4.0,1,4,-0.5,0.0,-0.75,-0.75,18,9,9,Wednesday,August,30,0,0,1,A
1995-96,Newcastle,Middlesbrough,0,8.0,3.0,1.0,2.0,2.25,1.0,W,L,W,W,W,D,M,M,M,M,4.0,9,4,1.75,0.25,1.25,1.25,2,10,-8,Wednesday,August,30,0,1,0,H
1995-96,Southampton,Leeds,1,4.0,5.0,7.0,1.0,0.25,2.25,D,W,L,W,L,W,M,M,M,M,4.0,1,9,-0.75,1.0,-2.0,-2.0,16,1,15,Wednesday,August,30,1,1,0,H
1995-96,West Ham,Tottenham,1,3.0,2.0,5.0,5.0,0.25,0.25,D,L,L,L,L,D,M,M,M,M,4.0,1,1,-0.5,-0.75,0.0,0.0,19,17,2,Wednesday,August,30,1,0,1,A
1995-96,Wimbledon,Sheffield Weds,1,7.0,2.0,5.0,4.0,1.5,0.75,L,L,W,W,W,L,M,M,M,M,4.0,6,3,0.5,-0.5,0.75,0.75,5,13,-8,Wednesday,August,30,0,2,2,D
1995-96,Blackburn,Aston Villa,1,3.0,4.0,4.0,3.0,0.75,1.5,L,L,L,W,W,W,M,M,M,M,4.0,3,6,-0.25,0.25,-0.75,-0.75,14,2,12,Saturday,September,9,1,0,0,D
1995-96,Bolton,Middlesbrough,1,5.0,4.0,8.0,3.0,0.6,1.0,L,D,W,L,L,W,L,D,M,M,5.0,3,5,-0.6,0.2,-0.4,-0.4,14,10,4,Saturday,September,9,1,0,0,D
1995-96,Coventry,Nott'm Forest,1,4.0,6.0,6.0,5.0,1.0,1.2,D,D,D,D,W,D,L,W,M,M,5.0,5,6,-0.4,0.2,-0.2,-0.2,9,7,2,Saturday,September,9,1,1,1,D
1995-96,Everton,Man United,2,4.0,8.0,2.0,6.0,1.4,1.8,W,W,W,W,L,W,D,L,M,M,5.0,7,9,0.4,0.4,-0.4,-0.4,5,3,2,Saturday,September,9,2,1,2,A
1995-96,QPR,Sheffield Weds,2,1.0,4.0,5.0,6.0,0.6,0.8,L,D,W,L,L,W,L,L,M,M,5.0,3,4,-0.8,-0.4,-0.2,-0.2,13,11,2,Saturday,September,9,2,0,3,A
1995-96,Southampton,Newcastle,0,5.0,9.0,7.0,1.0,0.8,2.4,W,W,D,W,L,W,L,W,M,M,5.0,4,12,-0.4,1.6,-1.6,-1.6,12,1,11,Saturday,September,9,0,1,0,H
1995-96,Tottenham,Leeds,0,3.0,6.0,6.0,2.0,0.4,2.0,D,D,L,W,L,W,D,W,M,M,5.0,2,10,-0.6,0.8,-1.6,-1.6,16,2,14,Saturday,September,9,0,1,1,D
1995-96,Wimbledon,Liverpool,0,9.0,5.0,7.0,2.0,1.4,1.8,D,W,L,W,W,L,W,W,M,M,5.0,7,9,0.4,0.6,-0.4,-0.4,6,4,2,Saturday,September,9,0,1,0,H
1995-96,Man City,Arsenal,2,2.0,4.0,6.0,2.0,0.2,1.2,L,D,L,D,L,W,D,D,M,M,5.0,1,6,-0.8,0.4,-1.0,-1.0,18,8,10,Sunday,September,10,2,0,1,A
1995-96,West Ham,Chelsea,2,4.0,2.0,6.0,4.0,0.4,0.6,D,D,D,L,L,D,L,D,M,M,5.0,2,3,-0.4,-0.4,-0.2,-0.2,17,15,2,Monday,September,11,2,1,2,A
1995-96,Middlesbrough,Southampton,1,4.0,5.0,3.0,7.0,1.0,0.8,D,W,L,D,W,L,D,L,M,M,5.0,5,4,0.2,-0.4,0.2,0.2,10,18,-8,Tuesday,September,12,0,2,0,H
1995-96,Arsenal,West Ham,0,5.0,5.0,2.0,9.0,1.5,0.3333333333333333,W,L,D,D,D,D,W,L,D,L,6.0,9,2,0.5,-0.6666666666666666,1.1666666666666667,1.1666666666666667,7,19,-12,Saturday,September,16,0,1,0,H
1995-96,Aston Villa,Wimbledon,0,6.0,10.0,4.0,7.0,1.6666666666666667,1.6666666666666667,D,W,W,D,L,L,W,W,W,W,6.0,10,10,0.3333333333333333,0.5,0.0,0.0,3,5,-2,Saturday,September,16,0,2,0,H
1995-96,Chelsea,Southampton,0,5.0,5.0,5.0,7.0,1.0,0.8333333333333334,W,D,D,W,L,D,D,L,D,L,6.0,6,5,0.0,-0.3333333333333333,0.16666666666666666,0.16666666666666666,12,14,-2,Saturday,September,16,0,2,0,H
1995-96,Leeds,QPR,2,7.0,1.0,4.0,8.0,1.6666666666666667,0.5,L,L,D,L,W,W,W,L,W,L,6.0,10,3,0.5,-1.1666666666666667,1.1666666666666667,1.1666666666666667,4,18,-14,Saturday,September,16,2,1,2,A
1995-96,Liverpool,Blackburn,0,5.0,5.0,3.0,7.0,1.5,0.6666666666666666,L,D,W,L,W,L,L,L,W,W,6.0,9,4,0.3333333333333333,-0.3333333333333333,0.8333333333333334,0.8333333333333334,6,17,-11,Saturday,September,16,0,3,0,H
1995-96,Man United,Bolton,0,11.0,6.0,8.0,9.0,2.0,0.6666666666666666,W,D,W,L,W,W,W,L,L,L,6.0,12,4,0.5,-0.5,1.3333333333333333,1.3333333333333333,1,16,-15,Saturday,September,16,0,2,0,H
1995-96,Middlesbrough,Coventry,0,4.0,5.0,3.0,7.0,1.0,1.0,D,D,D,D,L,D,W,W,D,L,6.0,6,6,0.16666666666666666,-0.3333333333333333,0.0,0.0,13,11,2,Saturday,September,16,0,2,0,H
1995-96,Newcastle,Man City,0,9.0,2.0,2.0,7.0,2.0,0.16666666666666666,L,L,W,L,W,L,W,L,W,D,6.0,12,1,1.1666666666666667,-0.8333333333333334,1.8333333333333333,1.8333333333333333,2,20,-18,Saturday,September,16,0,2,0,H
1995-96,Sheffield Weds,Tottenham,2,7.0,5.0,6.0,7.0,1.1666666666666667,0.8333333333333334,W,W,D,D,L,L,W,L,L,D,6.0,7,5,0.16666666666666666,-0.3333333333333333,0.3333333333333333,0.3333333333333333,10,15,-5,Saturday,September,16,2,0,3,A
