iter	RMSE
0	1.133123429
1	1.122245022
2	1.112316113
3	1.103676799
4	1.09572206
5	1.089174416
6	1.083243276
7	1.077737776
8	1.073518803
9	1.069665403
10	1.065965612
11	1.062840211
12	1.060347153
13	1.058267149
14	1.0562426
15	1.05409306
16	1.052732355
17	1.05147921
18	1.050346849
19	1.049262127
20	1.048347494
21	1.047723078
22	1.046843918
23	1.046243732
24	1.045706427
25	1.045109545
26	1.044503908
27	1.043927015
28	1.043359044
29	1.04313801
30	1.042347077
31	1.041940099
32	1.041642951
33	1.041091981
34	1.040689578
35	1.040370922
36	1.039910974
37	1.039572533
38	1.039019973
39	1.038364472
40	1.037812121
41	1.037601233
42	1.037114912
43	1.036955924
44	1.036439457
45	1.036356736
46	1.036136113
47	1.035875399
48	1.035538862
49	1.035538389
50	1.035160454
51	1.03456153
52	1.034137354
53	1.033776741
54	1.03330122
55	1.033301178
56	1.03284997
57	1.032611499
58	1.032277605
59	1.031899879
60	1.031647418
61	1.031484523
62	1.031484495
63	1.031340495
64	1.031266202
65	1.031139418
66	1.030785441
67	1.030505554
68	1.030252416
69	1.030148793
70	1.029928736
71	1.029551679
72	1.029319123
73	1.029319114
74	1.029317906
75	1.029147526
76	1.028982434
77	1.028799082
78	1.02879907
79	1.0286405
80	1.028340878
81	1.028266617
82	1.028266608
83	1.028105518
84	1.028059298
85	1.027922798
86	1.027485152
87	1.027288005
88	1.026719549
89	1.026305806
90	1.025988972
91	1.02598893
92	1.025769174
93	1.025733765
94	1.025460532
95	1.025249984
96	1.025125667
97	1.025014096
98	1.024958155
99	1.024726994
100	1.024620946
101	1.024547207
102	1.024412792
103	1.024171116
104	1.023903169
105	1.023728089
106	1.023253614
107	1.023236799
108	1.023037325
109	1.022882276
110	1.022734689
111	1.022354629
112	1.022246619
113	1.022186037
114	1.021872489
115	1.021596941
116	1.021508852
117	1.021125306
118	1.021125291
119	1.020965723
120	1.020788203
121	1.020149944
122	1.020149395
123	1.019605883
124	1.019246521
125	1.019246506
126	1.019029184
127	1.018694302
128	1.018554712
129	1.018358401
130	1.018134803
131	1.018055982
132	1.017878599
133	1.017791491
134	1.017173029
135	1.016497427
136	1.016296263
137	1.016032764
138	1.015528472
139	1.015229667
140	1.014852436
141	1.014829733
142	1.014550953
143	1.01393144
144	1.013893481
145	1.013624812
146	1.013587101
147	1.013432974
148	1.012769029
149	1.012590476
150	1.012303574
151	1.01208898
152	1.011876185
153	1.011659227
154	1.011252007
155	1.010913833
156	1.010813109
157	1.010804326
158	1.010298935
159	1.010009959
160	1.009833142
161	1.009010481
162	1.008472895
163	1.008377694
164	1.008084127
165	1.007844996
166	1.007688509
167	1.007438435
168	1.007165692
169	1.006511734
170	1.006242369
171	1.005928032
172	1.005782607
173	1.005661185
174	1.005097711
175	1.004911365
176	1.004172187
177	1.003613387
178	1.003435923
179	1.003142587
180	1.002977076
181	1.002408089
182	1.00228673
183	1.001673037
184	1.001466307
185	1.001079784
186	1.001055572
187	1.000935597
188	1.000585346
189	1.000142073
190	1.000079323
191	0.9998566515
192	0.9995483864
193	0.9992446999
194	0.9989790193
195	0.998707415
196	0.9984861634
197	0.9984256574
198	0.9983279856
199	0.9978436069
