iter	RMSE
0	1.137275561
1	1.133077632
2	1.129288495
3	1.125717668
4	1.122660249
5	1.119614403
6	1.116873552
7	1.114186304
8	1.111662853
9	1.10958434
10	1.107365238
11	1.105469031
12	1.103819855
13	1.102243432
14	1.100897295
15	1.0994168
16	1.097807248
17	1.096507386
18	1.095496835
19	1.094498799
20	1.093567394
21	1.092622974
22	1.091705863
23	1.090941885
24	1.090078117
25	1.089257868
26	1.088645994
27	1.08797631
28	1.087197327
29	1.086417771
30	1.086073989
31	1.085387528
32	1.084881395
33	1.084409128
34	1.084013322
35	1.083344461
36	1.083005697
37	1.082523251
38	1.081996724
39	1.081421367
40	1.080756219
41	1.080055923
42	1.07968569
43	1.079154748
44	1.078759432
45	1.078446219
46	1.077831071
47	1.077435611
48	1.076834562
49	1.076535592
50	1.076099449
51	1.075877346
52	1.0754446
53	1.075050816
54	1.074701386
55	1.074346023
56	1.074076681
57	1.073702143
58	1.07362751
59	1.073328606
60	1.073056198
61	1.0726876
62	1.072393094
63	1.071905012
64	1.071542023
65	1.071239185
66	1.071122696
67	1.070879337
68	1.070597543
69	1.07049397
70	1.070290049
71	1.069938165
72	1.069874003
73	1.069622392
74	1.069564909
75	1.069102655
76	1.06901778
77	1.068840526
78	1.068568605
79	1.068158749
80	1.068029147
81	1.067822928
82	1.067558848
83	1.067425055
84	1.067330279
85	1.067128204
86	1.067128195
87	1.06712801
88	1.066764998
89	1.066643811
90	1.066525516
91	1.066347215
92	1.066051612
93	1.06597283
94	1.065760516
95	1.06568357
96	1.065532878
97	1.065267217
98	1.06518641
99	1.065029426
100	1.064825545
101	1.064795442
102	1.0646905
103	1.064690494
104	1.06465866
105	1.064406059
106	1.064202006
107	1.064184945
108	1.064132587
109	1.063844291
110	1.063754912
111	1.063501097
112	1.063468029
113	1.063140833
114	1.062848192
115	1.062721794
116	1.062585125
117	1.062496959
118	1.062408864
119	1.062237102
120	1.062192503
121	1.062160669
122	1.062091804
123	1.062088654
124	1.061974733
125	1.061971009
126	1.061736852
127	1.061433097
128	1.061432316
129	1.061191575
130	1.060958645
131	1.060879079
132	1.060742274
133	1.060517853
134	1.060516918
135	1.060513329
136	1.060456677
137	1.060356186
138	1.060233915
139	1.060175555
140	1.060022909
141	1.060021264
142	1.059853607
143	1.059646542
144	1.059563252
145	1.059505908
146	1.059117043
147	1.059051201
148	1.058988208
149	1.058832617
150	1.058661063
151	1.058627328
152	1.058484213
153	1.058341649
154	1.058264952
155	1.058058181
156	1.058019547
157	1.057944278
158	1.057859233
159	1.057775744
160	1.057681143
161	1.057559878
162	1.057370395
163	1.057228629
164	1.057172435
165	1.05697316
166	1.056825194
167	1.056808467
168	1.056769842
169	1.056575892
170	1.05657589
171	1.056519787
172	1.056446313
173	1.056299197
174	1.056044011
175	1.05596332
176	1.055913803
177	1.055798155
178	1.055783117
179	1.055710333
180	1.055540794
181	1.055535282
182	1.05553528
183	1.055434481
184	1.055272711
185	1.055206152
186	1.054791389
187	1.054693954
188	1.054617507
189	1.054457404
190	1.054324209
191	1.054022784
192	1.053945616
193	1.053895122
194	1.053598737
195	1.053377518
196	1.053220358
197	1.053210354
198	1.053179068
199	1.052999559
200	1.052895163
201	1.052711966
202	1.052515718
203	1.052330597
204	1.052224802
205	1.052143764
206	1.052054752
207	1.051696853
208	1.051537339
209	1.051308176
210	1.051187944
211	1.051018991
212	1.050989763
213	1.050830871
214	1.050652776
215	1.050454089
216	1.050440442
217	1.050189918
218	1.049855305
219	1.049843511
220	1.049657627
221	1.049450945
222	1.049317334
223	1.049026222
224	1.048855783
225	1.048656812
226	1.048648109
227	1.048438505
228	1.048257906
229	1.048106769
230	1.048077557
231	1.047920781
232	1.047744425
233	1.047616416
234	1.047510278
235	1.047045162
236	1.047032537
237	1.046841006
238	1.046814037
239	1.046758086
240	1.046727629
241	1.046583438
242	1.046525007
243	1.046380152
244	1.046373898
245	1.046274428
246	1.04578559
247	1.045769803
248	1.045700228
249	1.045532487
250	1.045370317
251	1.045240561
252	1.04501644
253	1.044881839
254	1.044738014
255	1.044514378
256	1.044346785
257	1.044244059
258	1.044116558
259	1.043873384
260	1.043735875
261	1.0435901
262	1.043434874
263	1.04319562
264	1.043011506
265	1.042893137
266	1.042714042
267	1.042464071
268	1.042288403
269	1.042106863
270	1.04182895
271	1.041783359
272	1.041716289
273	1.041695105
274	1.041605688
275	1.041364434
276	1.041270888
277	1.040987325
278	1.04086695
279	1.040682843
280	1.040395999
281	1.040213471
282	1.040063437
283	1.040008018
284	1.03987516
285	1.039478889
286	1.039386511
287	1.039292091
288	1.039191078
289	1.039032316
290	1.038773849
291	1.038503646
292	1.038436962
293	1.038348051
294	1.038045304
295	1.037945962
296	1.03782148
297	1.037728608
298	1.037545928
299	1.037522849
