iter	Passed	Remaining
0	8	2466
1	19	2887
2	26	2653
3	35	2604
4	38	2262
5	45	2236
6	52	2187
7	58	2149
8	65	2101
9	68	1998
10	74	1968
11	80	1933
12	85	1888
13	89	1824
14	94	1798
15	101	1795
16	110	1831
17	117	1845
18	119	1767
19	122	1711
20	129	1719
21	136	1721
22	143	1726
23	151	1739
24	157	1736
25	163	1726
26	170	1719
27	176	1714
28	182	1704
29	188	1698
30	190	1653
31	196	1643
32	202	1641
33	215	1682
34	231	1751
35	240	1765
36	244	1736
37	250	1729
38	257	1720
39	264	1718
40	272	1722
41	280	1724
42	288	1723
43	294	1715
44	302	1712
45	309	1709
46	318	1712
47	326	1713
48	334	1711
49	341	1709
50	350	1710
51	358	1707
52	367	1710
53	389	1776
54	397	1772
55	406	1772
56	419	1787
57	428	1786
58	431	1761
59	440	1761
60	449	1760
61	459	1762
62	467	1758
63	475	1754
64	484	1752
65	490	1740
66	498	1735
67	505	1726
68	512	1716
69	519	1707
70	527	1702
71	535	1695
72	539	1676
73	545	1666
74	550	1650
75	557	1642
76	561	1624
77	568	1617
78	574	1607
79	582	1600
80	588	1592
81	596	1585
82	603	1578
83	614	1581
84	620	1568
85	627	1561
86	629	1540
87	631	1522
88	638	1513
89	644	1504
90	651	1496
91	658	1488
92	664	1478
93	668	1464
94	674	1454
95	680	1445
96	688	1441
97	695	1434
98	708	1438
99	715	1430
100	722	1424
101	726	1410
102	733	1403
103	735	1385
104	750	1394
105	758	1388
106	766	1383
107	773	1375
108	784	1373
109	792	1368
110	798	1359
111	805	1352
112	807	1336
113	818	1335
114	825	1328
115	832	1320
116	842	1317
117	851	1313
118	859	1308
119	867	1301
120	874	1294
121	876	1278
122	882	1269
123	883	1254
124	891	1248
125	897	1239
126	905	1233
127	914	1228
128	916	1214
129	922	1206
130	929	1199
131	936	1192
132	943	1184
133	950	1177
134	954	1166
135	956	1153
136	962	1144
137	968	1137
138	983	1138
139	989	1131
140	997	1124
141	999	1111
142	1005	1103
143	1012	1097
144	1019	1090
145	1028	1084
146	1035	1077
147	1041	1069
148	1048	1062
149	1056	1056
150	1064	1049
151	1071	1043
152	1078	1035
153	1085	1029
154	1094	1024
155	1108	1023
156	1115	1016
157	1123	1009
158	1130	1002
159	1137	995
160	1145	988
161	1152	981
162	1158	974
163	1164	965
164	1170	957
165	1179	952
166	1187	945
167	1190	935
168	1197	928
169	1204	921
170	1206	909
171	1209	900
172	1216	892
173	1223	886
174	1231	879
175	1237	872
176	1245	865
177	1255	860
178	1264	854
179	1271	847
180	1276	839
181	1280	830
182	1282	820
183	1293	815
184	1304	810
185	1311	803
186	1325	800
187	1332	793
188	1340	787
189	1347	780
190	1354	772
191	1361	765
192	1368	758
193	1385	757
194	1392	749
195	1401	743
196	1411	737
197	1414	728
198	1422	721
199	1429	714
200	1437	708
201	1443	700
202	1451	693
203	1458	686
204	1465	679
205	1472	671
206	1480	665
207	1487	658
208	1494	650
209	1502	643
210	1510	636
211	1520	631
212	1527	623
213	1537	617
214	1543	610
215	1550	603
216	1552	593
217	1559	586
218	1566	579
219	1571	571
220	1578	564
221	1586	557
222	1594	550
223	1601	543
224	1616	538
225	1623	531
226	1625	522
227	1633	515
228	1641	508
229	1652	502
230	1659	495
231	1667	488
232	1673	481
233	1681	474
234	1688	466
235	1695	459
236	1704	453
237	1711	445
238	1717	438
239	1729	432
240	1735	424
241	1743	417
242	1750	410
243	1757	403
244	1762	395
245	1768	388
246	1775	381
247	1781	373
248	1788	366
249	1795	359
250	1801	351
251	1808	344
252	1815	337
253	1823	330
254	1830	322
255	1836	315
256	1843	308
257	1851	301
258	1858	294
259	1866	287
260	1874	280
261	1898	275
262	1913	269
263	1921	261
264	1938	256
265	1946	248
266	1955	241
267	1963	234
268	1982	228
269	1990	221
270	1998	213
271	2006	206
272	2014	199
273	2023	191
274	2030	184
275	2038	177
276	2049	170
277	2056	162
278	2065	155
279	2076	148
280	2089	141
281	2097	133
282	2106	126
283	2115	119
284	2122	111
285	2130	104
286	2137	96
287	2145	89
288	2157	82
289	2179	75
290	2186	67
291	2195	60
292	2201	52
293	2209	45
294	2216	37
295	2224	30
296	2231	22
297	2238	15
298	2246	7
299	2260	0
